Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR17060816_1	SRR17060816_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	285558.0	85.6 Mbp	0.0	85-301	52.0	10.95889451529987	299.94351760412945	301	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060816_2	SRR17060816_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	285558.0	85.6 Mbp	0.0	85-301	52.0	8.101331428291275	300.9890039851799	301	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060817_1	SRR17060817_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	676817.0	203.6 Mbp	0.0	152-301	55.0	4.07968475969132	300.901867122132	301	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060817_2	SRR17060817_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	676817.0	203.1 Mbp	0.0	152-301	55.0	7.4461782136087	300.9889866832541	301	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060818_1	SRR17060818_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	591364.0	177.9 Mbp	0.0	227-301	54.0	5.980073186734397	299.89973011546186	300	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060818_2	SRR17060818_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	591364.0	177.4 Mbp	0.0	152-301	55.0	6.728850589484649	300.98609485866575	301	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060819_1	SRR17060819_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	379452.0	113.8 Mbp	0.0	82-301	52.0	10.67829396076447	300.1532104192362	301	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060819_2	SRR17060819_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	379452.0	113.8 Mbp	0.0	82-301	52.0	10.782918524609174	300.885993485342	301	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060820_1	SRR17060820_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	570270.0	171.5 Mbp	0.0	81-301	54.0	6.750486611605029	300.90395602083225	301	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060820_2	SRR17060820_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	570270.0	171.1 Mbp	0.0	81-301	54.0	7.97657250074526	300.9815245410069	301	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060821_1	SRR17060821_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	556682.0	167.4 Mbp	0.0	225-301	54.0	5.863131913731717	299.82638562051585	300	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060821_2	SRR17060821_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	556682.0	167 Mbp	0.0	225-301	54.0	7.57847388634804	299.99315946985894	300	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060822_1	SRR17060822_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	132360.0	33.1 Mbp	0.0	240-251	52.0	14.629042006648534	250.41643245693564	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060822_2	SRR17060822_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	132360.0	33.2 Mbp	0.0	49-251	52.0	12.488667271078874	250.93392263523722	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060823_1	SRR17060823_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	215557.0	54 Mbp	0.0	112-251	51.0	15.19922804641	250.89507647629165	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060823_2	SRR17060823_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	215557.0	54 Mbp	0.0	56-251	51.0	16.893443497543572	250.9308953084335	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060824_1	SRR17060824_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	393578.0	118.4 Mbp	0.0	111-301	53.0	8.251223391551358	300.88295077468763	301	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060824_2	SRR17060824_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	393578.0	118.1 Mbp	0.0	111-301	54.0	8.29949844757583	300.98179268150153	301	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060825_1	SRR17060825_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	116672.0	29.2 Mbp	0.0	238-251	52.0	15.424437739989031	250.3946019610532	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060825_2	SRR17060825_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	116672.0	29.2 Mbp	0.0	52-251	52.0	15.843561437191441	250.92967464344488	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060826_1	SRR17060826_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	109215.0	27.3 Mbp	0.0	114-251	50.0	17.505837110287047	250.80829556379618	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060826_2	SRR17060826_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	109215.0	27.4 Mbp	0.0	50-251	51.0	19.191502998672345	250.92041386256466	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060827_1	SRR17060827_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101244.0	25.3 Mbp	0.0	242-251	53.0	13.480305005728734	250.6078286120659	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060827_2	SRR17060827_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101244.0	25.4 Mbp	0.0	48-251	52.0	13.959345739006757	250.9314527280629	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060828_1	SRR17060828_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	125327.0	31.3 Mbp	0.0	159-251	52.0	14.32013851763786	249.8497530460316	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR17060828_2	SRR17060828_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	125327.0	31.4 Mbp	0.0	70-251	52.0	15.695739944305695	250.9321933821124	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
