Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR17060816_1	89.04110548470013	52.0	299.94351760412945	301	40.0	285558.0
SRR17060816_2	91.89866857170873	52.0	300.9890039851799	301	50.0	285558.0
SRR17060817_1	95.92031524030868	55.0	300.901867122132	301	40.0	676817.0
SRR17060817_2	92.5538217863913	55.0	300.9889866832541	301	50.0	676817.0
SRR17060818_1	94.0199268132656	54.0	299.89973011546186	300	40.0	591364.0
SRR17060818_2	93.27114941051535	55.0	300.98609485866575	301	50.0	591364.0
SRR17060819_1	89.32170603923552	52.0	300.1532104192362	301	40.0	379452.0
SRR17060819_2	89.21708147539083	52.0	300.885993485342	301	50.0	379452.0
SRR17060820_1	93.24951338839497	54.0	300.90395602083225	301	40.0	570270.0
SRR17060820_2	92.02342749925474	54.0	300.9815245410069	301	50.0	570270.0
SRR17060821_1	94.13686808626828	54.0	299.82638562051585	300	40.0	556682.0
SRR17060821_2	92.42152611365196	54.0	299.99315946985894	300	50.0	556682.0
SRR17060822_1	85.37095799335147	52.0	250.41643245693564	250	50.0	132360.0
SRR17060822_2	87.51133272892113	52.0	250.93392263523722	251	50.0	132360.0
SRR17060823_1	84.80077195359	51.0	250.89507647629165	251	50.0	215557.0
SRR17060823_2	83.10655650245643	51.0	250.9308953084335	251	50.0	215557.0
SRR17060824_1	91.74877660844864	53.0	300.88295077468763	301	40.0	393578.0
SRR17060824_2	91.70050155242417	54.0	300.98179268150153	301	50.0	393578.0
SRR17060825_1	84.57556226001097	52.0	250.3946019610532	250	50.0	116672.0
SRR17060825_2	84.15643856280856	52.0	250.92967464344488	251	50.0	116672.0
SRR17060826_1	82.49416288971295	50.0	250.80829556379618	251	40.0	109215.0
SRR17060826_2	80.80849700132765	51.0	250.92041386256466	251	40.0	109215.0
SRR17060827_1	86.51969499427126	53.0	250.6078286120659	251	50.0	101244.0
SRR17060827_2	86.04065426099325	52.0	250.9314527280629	251	50.0	101244.0
SRR17060828_1	85.67986148236214	52.0	249.8497530460316	250	50.0	125327.0
SRR17060828_2	84.3042600556943	52.0	250.9321933821124	251	40.0	125327.0
SRR17060829_1	70.85510688836105	51.0	250.7104513064133	251	50.0	4210.0
SRR17060829_2	72.56532066508314	51.0	250.90570071258907	251	50.0	4210.0
SRR17060830_1	80.92479460712029	53.0	299.84563935116915	300	40.0	37976.0
SRR17060830_2	85.74362755424478	54.0	299.96318727617444	300	50.0	37976.0
SRR17060831_1	91.14760509572668	52.0	300.1645202838429	301	40.0	618793.0
SRR17060831_2	90.8567162201253	52.0	300.9374588917457	301	40.0	618793.0
SRR17060832_1	91.888832956613	54.0	300.58385399701916	301	40.0	303939.0
SRR17060832_2	90.74419538131006	54.0	300.94707490647795	301	50.0	303939.0
SRR17060833_1	91.28440790433268	52.0	300.77631469627624	301	40.0	541627.0
SRR17060833_2	92.04157104427955	53.0	300.9833317024447	301	50.0	541627.0
SRR17060834_1	89.23887577147129	53.0	300.4696015242541	301	40.0	548465.0
SRR17060834_2	89.80518355774754	52.0	300.9463940269662	301	50.0	548465.0
SRR17060835_1	91.46439816604982	51.0	299.43974147931283	301	40.0	452575.0
SRR17060835_2	91.36563000607634	51.0	300.9737015964205	301	50.0	452575.0
SRR17060836_1	93.49001237539196	50.0	300.9463435651758	301	40.0	526852.0
SRR17060836_2	91.89297943255411	51.0	300.98797764837184	301	50.0	526852.0
SRR17060837_1	86.51646447140381	53.0	300.35332373762594	301	40.0	340430.0
SRR17060837_2	87.02288282466293	53.0	300.91944011984845	301	50.0	340430.0
SRR17060838_1	92.98794844515757	49.0	300.7682081378517	301	40.0	458696.0
SRR17060838_2	92.41829010935348	51.0	300.9869281615711	301	50.0	458696.0
SRR17060839_1	74.24066774866682	51.0	250.477393925342	251	50.0	4313.0
SRR17060839_2	75.0057964293995	51.0	250.95246927892418	251	40.0	4313.0
SRR17060840_1	86.4446414717943	49.0	250.931940596254	251	50.0	180460.0
SRR17060840_2	84.49185415050427	50.0	250.91998780893272	251	50.0	180460.0
SRR17060841_1	86.31507710156137	50.0	250.9343410975837	251	50.0	144809.0
SRR17060841_2	83.02798859186929	51.0	250.93141310277676	251	40.0	144809.0
SRR17060842_1	86.22065869036048	52.0	250.1611030354117	250	50.0	116261.0
SRR17060842_2	88.04242179234653	54.0	250.9303807811734	251	40.0	116261.0
SRR17060843_1	86.36302385123298	52.0	250.23524457620266	250	50.0	118736.0
SRR17060843_2	87.7012868885595	53.0	250.9465873871446	251	40.0	118736.0
SRR17060844_1	81.7282197655718	50.0	250.7002854286501	251	50.0	138038.0
SRR17060844_2	77.61413523812283	50.0	250.9096987785972	251	50.0	138038.0
SRR17060845_1	76.34066262063476	51.0	250.4504029449806	250	40.0	10051.0
SRR17060845_2	75.07710675554671	52.0	250.9365237289822	251	50.0	10051.0
SRR17060846_1	91.63241325493613	53.0	300.9438743103949	301	30.0	440832.0
SRR17060846_2	90.78810068234611	52.0	300.9804279181185	301	50.0	440832.0
SRR17060847_1	91.23465398960103	52.0	300.9360639562977	301	40.0	345611.0
SRR17060847_2	91.14351105722908	52.0	300.9223404347662	301	50.0	345611.0
