	SRR17060816_R1_filtered.fastq.gz	SRR17060817_R1_filtered.fastq.gz	SRR17060818_R1_filtered.fastq.gz	SRR17060819_R1_filtered.fastq.gz	SRR17060820_R1_filtered.fastq.gz	SRR17060821_R1_filtered.fastq.gz	SRR17060822_R1_filtered.fastq.gz	SRR17060823_R1_filtered.fastq.gz	SRR17060824_R1_filtered.fastq.gz	SRR17060825_R1_filtered.fastq.gz	SRR17060826_R1_filtered.fastq.gz	SRR17060827_R1_filtered.fastq.gz	SRR17060828_R1_filtered.fastq.gz	SRR17060829_R1_filtered.fastq.gz	SRR17060830_R1_filtered.fastq.gz	SRR17060831_R1_filtered.fastq.gz	SRR17060832_R1_filtered.fastq.gz	SRR17060833_R1_filtered.fastq.gz	SRR17060834_R1_filtered.fastq.gz	SRR17060835_R1_filtered.fastq.gz	SRR17060836_R1_filtered.fastq.gz	SRR17060837_R1_filtered.fastq.gz	SRR17060838_R1_filtered.fastq.gz	SRR17060839_R1_filtered.fastq.gz	SRR17060840_R1_filtered.fastq.gz	SRR17060841_R1_filtered.fastq.gz	SRR17060842_R1_filtered.fastq.gz	SRR17060843_R1_filtered.fastq.gz	SRR17060844_R1_filtered.fastq.gz	SRR17060845_R1_filtered.fastq.gz	SRR17060846_R1_filtered.fastq.gz	SRR17060847_R1_filtered.fastq.gz
ASV_1	20533	101614	104663	9232	84567	91054	0	0	45989	0	0	0	0	0	152	11	40395	44848	0	468	0	0	0	0	0	0	0	0	0	0	10	0
ASV_2	0	0	0	0	0	0	0	0	980	0	0	0	0	0	0	1360	34	5865	0	0	76750	30	12965	0	0	0	0	0	0	0	0	0
ASV_3	0	0	0	0	24	0	0	0	2600	0	0	0	0	0	0	0	171	16817	16	0	1762	45	35834	0	0	0	0	0	0	0	0	0
ASV_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	33644	0	0	0	0	0	0	0	0	0	0	0
ASV_5	3578	2576	442	4304	3588	2490	0	0	1483	0	0	0	0	0	0	212	1334	1867	0	3048	114	0	280	0	0	0	0	0	0	0	2181	808
ASV_6	32	580	2963	0	2471	1481	0	0	3295	0	0	0	0	0	0	44	674	1862	0	112	0	0	0	0	0	0	0	0	0	0	1380	5215
ASV_7	534	3322	2936	313	2646	2923	0	0	1401	0	0	0	0	0	0	0	1250	1227	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	10610	0	0	4911	0	0	0	0	0	0	0	0	0	0
ASV_9	39	64	278	23	961	1050	0	0	961	0	0	0	0	0	0	6589	519	1497	0	45	318	0	2897	0	0	0	0	0	0	0	255	23
ASV_10	14	305	883	25	930	700	0	0	1711	0	0	0	0	0	0	0	333	880	0	54	0	0	0	0	0	0	0	0	0	0	8168	1181
ASV_11	0	11	33	82	111	529	0	0	15	0	0	0	0	0	3484	5908	1699	115	331	278	436	502	160	0	0	0	0	0	0	0	0	60
ASV_12	1114	1764	210	1114	593	2486	0	0	319	0	0	0	0	0	0	0	1030	173	0	4163	0	0	0	0	0	0	0	0	0	0	159	22
ASV_13	444	1955	2150	219	1641	1890	0	0	939	0	0	0	0	0	0	0	836	891	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_14	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	199	0	0	792	27	9712	0	0	0	0	0	0	0	0	0
ASV_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6846	0	0	3783	0	0	0	0	0	0	0	0	0	0
ASV_16	1408	8951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_17	0	0	0	0	0	0	0	0	825	0	0	0	0	0	0	237	17	5958	6	0	463	0	2620	0	0	0	0	0	0	0	0	0
ASV_18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	10100	0	0	0	0	0	0	0	0	0
ASV_19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6300	0	0	3737	0	0	0	0	0	0	0	0	0	0
ASV_20	0	1	206	0	0	316	0	0	561	0	0	0	0	0	24	5893	179	421	0	0	556	0	575	0	0	0	0	0	0	0	0	0
ASV_21	283	28	13	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8277	0	0	0	0	0	0	0	0	0	0	8	0
ASV_22	0	0	0	0	0	0	0	0	534	0	0	0	0	0	0	55	0	3007	0	0	50	0	4928	0	0	0	0	0	0	0	0	0
ASV_23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8383	0	0	0	0	0	0	0	0	0
ASV_24	342	68	95	1634	740	1365	0	0	287	0	0	0	0	0	16	0	591	176	0	2913	0	0	0	0	0	0	0	0	0	0	144	0
ASV_25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5174	0	0	2888	0	0	0	0	0	0	0	0	0	0
ASV_26	0	0	0	0	0	0	0	0	277	0	0	0	0	0	11	4207	12	1947	0	0	45	7	1173	0	0	0	0	0	0	0	0	0
ASV_27	0	0	0	0	271	34	0	0	124	0	0	0	0	0	48	6001	0	374	0	30	72	0	382	0	0	0	0	0	0	0	31	279
ASV_28	32	343	1815	305	1369	2161	0	0	225	0	0	0	0	0	0	0	637	134	0	212	0	0	0	0	0	0	0	0	0	0	187	55
ASV_29	0	0	0	9	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	7075	0
ASV_30	438	52	0	1759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5073	0	0	0	0	0	0	0	0	0	0	7	0
ASV_31	0	0	0	0	0	0	0	0	658	0	0	0	0	0	0	1885	0	3843	0	0	0	0	751	0	0	0	0	0	0	0	0	0
ASV_32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	6761	0	0	0	0	0	0	0	0	0
ASV_33	1018	149	32	1951	29	35	0	0	0	0	0	0	0	0	0	0	0	0	0	3521	0	0	0	0	0	0	0	0	0	0	0	0
ASV_34	0	0	0	0	0	0	0	0	591	0	0	0	0	0	0	0	24	5431	0	0	5	0	578	0	0	0	0	0	0	0	0	0
ASV_35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3910	0	0	2409	0	0	0	0	0	0	0	0	0	0
ASV_36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4376	0	0	1895	0	0	0	0	0	0	0	0	0	0
ASV_37	0	226	439	0	0	1973	0	0	1463	0	0	0	0	0	0	0	813	797	0	0	0	0	0	0	0	0	0	0	0	0	116	286
ASV_38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4117	0	0	1865	0	0	0	0	0	0	0	0	0	0
ASV_39	0	0	402	12	1292	257	0	0	487	0	0	0	0	0	22	1931	135	580	0	24	0	0	182	0	0	0	0	0	0	0	130	517
ASV_40	30	80	1294	0	361	167	0	0	540	0	0	0	0	0	0	1421	129	286	0	0	428	0	90	0	0	0	0	0	0	0	173	758
ASV_41	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	1430	4294
ASV_42	724	104	0	1367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3555	0	0	0	0	0	0	0	0	0	0	0	0
ASV_43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	4107	0	0	1520	0	0	0	0	0	0	0	0	0	0
ASV_44	10	98	186	0	230	218	0	0	348	0	0	0	0	0	0	26	89	1548	13	25	46	0	2173	0	0	0	0	0	0	0	293	302
ASV_45	0	0	82	0	347	211	0	0	281	0	0	0	0	0	17	3688	105	284	0	17	0	0	237	0	0	0	0	0	0	0	57	187
ASV_46	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5324	0
ASV_47	0	0	0	100	1478	809	0	0	1352	0	0	0	0	0	0	0	390	1282	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_48	0	58	827	0	1340	614	0	0	486	0	0	0	0	0	0	0	228	316	0	47	0	0	0	0	0	0	0	0	0	0	746	647
ASV_49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	5010	0
ASV_50	282	34	0	456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4204	0	0	0	0	0	0	0	0	0	0	0	0
ASV_51	0	467	55	0	145	2469	0	0	315	0	0	0	0	0	0	0	1015	139	0	0	0	0	0	0	0	0	0	0	0	0	330	28
ASV_52	0	0	0	571	1271	1803	0	0	283	0	0	0	0	0	0	0	824	144	0	0	0	0	29	0	0	0	0	0	0	0	38	0
ASV_53	1960	328	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2609	0	0	0	0	0	0	0	0	0	0	0	0
ASV_54	45	590	888	0	85	540	0	0	1061	0	0	0	0	0	0	0	257	643	0	0	0	0	0	0	0	0	0	0	0	0	206	473
ASV_55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2819	0	0	1831	0	0	0	0	0	0	0	0	0	0
ASV_56	179	0	0	294	0	2153	0	0	0	0	0	0	0	0	0	0	1010	0	0	891	0	0	0	0	0	0	0	0	0	0	38	0
ASV_57	10	68	183	0	1001	657	0	0	454	0	0	0	0	0	0	0	287	303	0	43	0	0	268	0	0	0	0	0	0	0	568	578
ASV_58	0	92	356	0	1459	542	0	0	424	0	0	0	0	0	0	0	255	249	0	27	0	0	0	0	0	0	0	0	0	0	250	679
ASV_59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2282	0	0	2042	0	0	0	0	0	0	0	0	0	0
ASV_60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4239	0	0	0	0	0	0	0	0	0	0	0	0
ASV_61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3220	0	85	0	0	334	0	582	0	0	0	0	0	0	0	0	0
ASV_62	0	50	904	0	10	1493	0	0	575	0	0	0	0	0	0	0	762	304	0	0	0	0	0	0	0	0	0	0	0	0	0	95
ASV_63	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	3327	0	81	0	0	0	0	301	0	0	0	0	0	0	0	0	0
ASV_64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3789	0	0	0	0	0	0	0	0	0
ASV_65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2714	0	0	1064	0	0	0	0	0	0	0	0	0	0
ASV_66	0	0	569	36	148	893	0	0	404	0	0	0	0	0	0	0	480	186	0	313	0	0	0	0	0	0	0	0	0	0	594	56
ASV_67	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	2374	0	229	0	0	0	0	917	0	0	0	0	0	0	0	0	0
ASV_68	0	0	0	1024	540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1579	0	0	0	0	0	0	0	0	0	0	307	78
ASV_69	0	0	0	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3206	0	0	0	0	0	0	0	0	0	0	12	0
ASV_70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1218	0	0	0	0	2040	0	167	0	0	0	0	0	0	0	0	0
ASV_71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2887	0	0	483	0	0	0	0	0	0	0	0	0	0
ASV_72	0	90	659	0	138	331	0	0	436	0	0	0	0	0	0	0	95	204	0	0	0	0	0	0	0	0	0	0	0	0	1307	67
ASV_73	595	85	0	793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1763	0	0	0	0	0	0	0	0	0	0	13	0
ASV_74	0	0	231	81	1030	519	0	0	64	0	0	0	0	0	0	0	299	47	0	532	0	0	0	0	0	0	0	0	0	0	157	274
ASV_75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2038	0	0	1120	0	0	0	0	0	0	0	0	0	0
ASV_76	0	0	705	9	637	487	0	0	419	0	0	0	0	0	0	0	271	277	0	21	0	0	0	0	0	0	0	0	0	0	82	158
ASV_77	642	107	0	2147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0
ASV_78	1923	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	631	0	0	0	0	0	0	0	0	0	0	0	0
ASV_79	0	0	0	0	0	875	0	0	743	0	0	0	0	0	0	0	393	816	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_80	0	0	0	885	390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1295	0	0	0	0	0	0	0	0	0	0	240	0
ASV_81	0	83	306	0	447	166	0	0	329	0	0	0	0	0	0	893	88	175	0	30	0	0	89	0	0	0	0	0	0	0	153	48
ASV_82	0	33	182	0	102	129	0	0	271	0	0	0	0	0	0	0	64	150	0	3	0	0	0	0	0	0	0	0	0	0	1717	95
ASV_83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1418	0	0	0	1	0	0	1318	0	0	0	0	0	0	0	0	0
ASV_84	0	0	103	0	611	407	0	0	478	0	0	0	0	0	0	0	192	283	0	33	0	0	0	0	0	0	0	0	0	0	118	450
ASV_85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1891	0	0	759	0	0	0	0	0	0	0	0	0	0
ASV_86	81	21	0	366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2111	0	0	0	0	0	0	0	0	0	0	0	0
ASV_87	0	0	57	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2410	0	0	0	0	0	0	0	0	0	0	0	0
ASV_88	0	0	154	0	108	396	0	0	541	0	0	0	0	0	0	0	141	241	0	21	0	0	0	0	0	0	0	0	0	0	409	483
ASV_89	51	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2247	0	0	0	0	0	0	0	0	0	0	0	0
ASV_90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	1945	0	356	0	0	0	0	0	0	0	0	0
ASV_91	672	149	0	125	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1219	0	0	0	0	0	0	0	0	0	0	0	0
ASV_92	0	71	416	0	0	86	0	0	11	0	0	0	0	0	0	0	16	10	0	0	0	0	0	0	0	0	0	0	0	0	0	1552
ASV_93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2143	0	0	0	0	0	0	0	0	0
ASV_94	0	0	19	0	244	32	0	0	55	0	0	0	0	0	0	0	13	33	0	0	0	0	0	0	0	0	0	0	0	0	1084	644
ASV_95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	780	0	0	0	0	764	0	488	0	0	0	0	0	0	0	0	0
ASV_96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1839	0	0	179	0	0	0	0	0	0	0	0	0	0
ASV_97	89	0	0	1256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	658	0	0	0	0	0	0	0	0	0	0	0	0
ASV_98	0	0	188	21	863	183	0	0	306	0	0	0	0	0	0	0	83	155	0	0	0	0	0	0	0	0	0	0	0	0	92	108
ASV_99	599	114	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1188	0	0	0	0	0	0	0	0	0	0	0	0
ASV_100	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	793	61	796	0	0	0	0	195	0	0	0	0	0	0	0	0	0
ASV_101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1733	0	0	133	0	0	0	0	0	0	0	0	0	0
ASV_102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	867	0	0	999	0	0	0	0	0	0	0	0	0	0
ASV_103	0	0	0	69	140	943	0	0	132	0	0	0	0	0	0	0	485	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1181	0	0	676	0	0	0	0	0	0	0	0	0	0
ASV_105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1848	0	0	0	0	0	0	0	0	0
ASV_106	0	0	0	0	1175	149	0	0	154	0	0	0	0	0	0	0	69	101	0	0	0	0	0	0	0	0	0	0	0	0	38	153
