	SRR17060816_R2_filtered.fastq.gz	SRR17060817_R2_filtered.fastq.gz	SRR17060818_R2_filtered.fastq.gz	SRR17060819_R2_filtered.fastq.gz	SRR17060820_R2_filtered.fastq.gz	SRR17060821_R2_filtered.fastq.gz	SRR17060822_R2_filtered.fastq.gz	SRR17060823_R2_filtered.fastq.gz	SRR17060824_R2_filtered.fastq.gz	SRR17060825_R2_filtered.fastq.gz	SRR17060826_R2_filtered.fastq.gz	SRR17060827_R2_filtered.fastq.gz	SRR17060828_R2_filtered.fastq.gz	SRR17060829_R2_filtered.fastq.gz	SRR17060830_R2_filtered.fastq.gz	SRR17060831_R2_filtered.fastq.gz	SRR17060832_R2_filtered.fastq.gz	SRR17060833_R2_filtered.fastq.gz	SRR17060834_R2_filtered.fastq.gz	SRR17060835_R2_filtered.fastq.gz	SRR17060836_R2_filtered.fastq.gz	SRR17060837_R2_filtered.fastq.gz	SRR17060838_R2_filtered.fastq.gz	SRR17060839_R2_filtered.fastq.gz	SRR17060840_R2_filtered.fastq.gz	SRR17060841_R2_filtered.fastq.gz	SRR17060842_R2_filtered.fastq.gz	SRR17060843_R2_filtered.fastq.gz	SRR17060844_R2_filtered.fastq.gz	SRR17060845_R2_filtered.fastq.gz	SRR17060846_R2_filtered.fastq.gz	SRR17060847_R2_filtered.fastq.gz
ASV_1	48348	259641	229984	20928	177057	192532	0	0	99686	0	0	0	0	0	334	58	90435	100364	0	945	0	0	10	0	0	0	0	0	0	0	24	0
ASV_2	4	31	2433	0	0	497	0	0	2039	0	0	0	0	0	0	2708	329	11912	0	51	156049	69	26385	0	0	0	0	0	0	0	998	0
ASV_3	0	0	0	0	62	0	0	0	4938	0	0	0	0	0	0	0	355	33448	39	0	5140	216	119057	0	0	0	0	0	0	0	0	0
ASV_4	0	0	0	0	0	0	9137	6979	0	6409	4434	4767	16376	91	0	0	0	0	0	0	0	0	0	531	508	836	46894	33065	1524	660	0	0
ASV_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	76961	0	15	45829	0	0	0	0	0	0	0	0	0	0
ASV_6	0	0	0	0	0	0	0	9	0	0	16218	0	0	0	0	0	0	0	0	0	0	0	0	675	44375	33885	1879	349	8213	40	0	0
ASV_7	143	1115	7089	94	12100	6791	0	0	8808	0	0	0	0	0	136	8001	3335	23355	45	542	2531	18	10099	0	0	0	0	0	0	0	5516	9620
ASV_8	0	0	0	0	0	0	0	0	983	0	0	0	0	0	49	9184	29	5999	0	0	68755	0	11041	0	0	0	0	0	0	0	0	0
ASV_9	134	2263	10223	0	11944	5033	0	0	10991	0	0	0	0	0	0	209	2563	6260	0	386	0	0	0	0	0	0	0	0	0	0	4877	20268
ASV_10	0	85	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	0	0	0	0	0	0	0	0	0	0	25201	45441
ASV_11	0	0	0	0	0	0	0	0	480	0	0	0	0	0	0	42006	0	3293	0	21	1461	0	19405	0	0	0	0	0	0	0	97	32
ASV_12	8841	6592	961	10397	8081	5431	0	0	3095	0	0	0	0	0	0	350	2952	3739	0	6591	216	0	552	0	0	0	0	0	0	0	4979	1827
